team,intercept_attack,elo_o_attack,intercept_defense,elo_o_defense
Mexico,3.8495335024840758,-0.0019974891753622138,-6.880504768207352,0.003934915768630447
South Africa,3.4240908653061513,-0.0022522237535363763,-1.141047147852447,0.0005660824254910518
South Korea,2.4434223605966547,-0.0012079656196045008,-2.7328718262947715,0.00180432046899954
Czechia,4.163449859713724,-0.0021905149645813997,-3.275042760823271,0.001979471112505019
Canada,4.541082255864648,-0.0025833068940040527,-3.3570227829509944,0.0019053926248887988
Bosnia and Herzegovina,2.408930086975518,-0.0014431288226782807,-3.873195336512598,0.002492858176500669
Qatar,2.537664433829739,-0.0014648163360723178,-4.097678538012853,0.0026895640436141195
Switzerland,3.313338731594934,-0.0016023859184068246,-3.417085013863402,0.0020368327446786366
Brazil,3.58699510038337,-0.0016829941843855374,-1.2200181866609139,0.0006535767534853746
Morocco,2.821381185052534,-0.0015148330903070612,-2.3838065491170317,0.001109827066687474
Haiti,4.2033493862196,-0.0026998459757277713,-2.0343826922488137,0.0015165502133021275
Scotland,2.5151430049088557,-0.0014184033600292537,-4.00538284139541,0.0023486332497673745
United States,5.655368411009937,-0.0031712777037255853,-4.564888257745231,0.0025405325697748678
Paraguay,4.143878355651024,-0.0022333826261716873,-3.633909483959651,0.0021746637454795846
Australia,3.2077442721567055,-0.0018307818610170065,-4.582299981153381,0.002616330872976971
Turkey,3.569962586680843,-0.0018536423539934786,-3.9033777292223757,0.0023962390860242416
Germany,3.213820275120016,-0.0013759333844351432,-4.175177431146282,0.0023820028286604122
Curaçao,2.9185827096147587,-0.00203834753318111,-2.5904858057376727,0.0018281440196500432
Ivory Coast,2.6486976482922984,-0.0014119872953283,-1.957843994326308,0.001118356735238133
Ecuador,3.461000092236847,-0.0019439578622954482,-4.680963602066109,0.0026461690211833765
Netherlands,2.965530315657426,-0.0012609019030456392,-3.699475720267889,0.0020772405625473223
Japan,4.014007091695791,-0.002121645118679479,-1.9895802641421865,0.0011796799680479746
Sweden,3.5774263400354647,-0.0018269180726654683,-4.500997944777691,0.002666976750624376
Tunisia,2.8735264324178598,-0.0018136361542670223,-1.7410220646314465,0.0010184016746672716
Belgium,3.16774780358005,-0.001528725722543779,-4.677397012101762,0.002544244505368264
Egypt,2.917249575652479,-0.0017802617580879036,-2.188042158836909,0.0013216064796819152
Iran,3.4229762921681077,-0.0017479654784819314,-4.436571911183084,0.0026568495670241956
New Zealand,5.649079142145443,-0.0036949663495025667,-5.523247467162309,0.003282265517553509
Spain,4.344745227658802,-0.0019315381100898732,-6.436005364127556,0.003334003027856554
Cape Verde,2.825026997769201,-0.0018159145487794594,-4.475638699425285,0.00284764910343816
Saudi Arabia,3.2605158883146865,-0.002112429667493928,-1.2470319033100017,0.000826469059183128
Uruguay,3.880418178778153,-0.0020053037271460404,-3.7862528865493674,0.0018327822108452636
France,1.5022092335604373,-0.00042395473203707987,-6.595913966689132,0.0034583606235338554
Senegal,2.171657829242729,-0.001088752171568897,-3.4673757018919638,0.0019049160268314663
Iraq,3.3284522945517514,-0.0022591811389238462,-1.931559796889034,0.001284023120086757
Norway,2.819520220159946,-0.0012825379503160071,-8.817600432395768,0.005182583185827887
Argentina,3.521756106617026,-0.0015829885332253894,-5.274309349178224,0.0025997669850649214
Algeria,2.419309913887444,-0.00119223577611748,-3.2328385104825856,0.0017788898574281956
Austria,2.6773128021449195,-0.00130379013151769,-4.374204332044876,0.002504051305126219
Jordan,1.8202381502717793,-0.0009418670835802931,-6.368846151193894,0.0040036349493027
Portugal,3.103955830153013,-0.0013282805803023594,-1.9354595341132619,0.0009822388578601818
DR Congo,3.7306364692770644,-0.002473690480481113,-3.911179544661012,0.002370400230681586
Uzbekistan,4.017756694115468,-0.0024096898640908336,-4.961054231878073,0.0029441864805772448
Colombia,4.034372116251716,-0.0019994770119076905,-3.4540394739276987,0.001703192144626738
England,2.2827588743442506,-0.0010315455340145177,-7.1301044981732415,0.0036907916211192217
Croatia,3.6786693024263952,-0.0018043490903033915,-3.1069179727129566,0.0018208432201674764
Ghana,2.554407828708448,-0.0014669210980615508,-1.5306803571820389,0.0011660613733041618
Panama,3.02858284735822,-0.0016750177266440503,-1.7854484662814738,0.0014026591493949995
