date,home_team,away_team,home_score,away_score,tournament,country,neutral,home_elo,away_elo
2016-01-06,Estonia,Sweden,1,1,Friendly,United Arab Emirates,True,1499.0,1758.0
2016-01-08,Haiti,Trinidad and Tobago,1,0,Copa America qualifier,Panama,True,1503.0,1586.0
2016-01-10,Sweden,Finland,3,0,Friendly,United Arab Emirates,True,1768.0,1592.0
2016-02-14,Uzbekistan,Lebanon,2,0,Friendly,United Arab Emirates,True,1656.0,1388.0
2016-03-18,Syria,Iraq,1,0,Friendly,Iran,True,1529.0,1502.0
2016-03-24,Iraq,Thailand,2,2,World Cup and Asian Cup qual,Iran,True,1497.0,1415.0
2016-03-29,Iraq,Vietnam,1,0,World Cup and Asian Cup qual,Iran,True,1504.0,1212.0
2016-05-25,DR Congo,Romania,1,1,Friendly,Italy,True,1549.0,1763.0
2016-05-27,Czechia,Malta,6,0,Friendly,Austria,True,1756.0,1231.0
2016-05-28,New Zealand,Fiji,3,1,WC q and Oce Cup,Papua New Guinea,True,1533.0,1252.0
2016-05-28,Mexico,Paraguay,1,0,Friendly,United States,True,1926.0,1746.0
2016-05-29,Albania,Qatar,3,1,Friendly,Austria,True,1622.0,1538.0
2016-05-29,Colombia,Haiti,3,1,Friendly,United States,True,1981.0,1498.0
2016-05-29,Brazil,Panama,2,0,Friendly,United States,True,2022.0,1676.0
2016-05-29,Italy,Scotland,1,0,Friendly,Malta,True,1871.0,1714.0
2016-05-29,Spain,Bosnia and Herzegovina,3,1,Friendly,Switzerland,True,2002.0,1742.0
2016-05-31,New Zealand,Vanuatu,5,0,WC q and Oce Cup,Papua New Guinea,True,1544.0,1154.0
2016-06-01,Czechia,Russia,2,1,Friendly,Austria,True,1766.0,1759.0
2016-06-01,Spain,South Korea,6,1,Friendly,Austria,True,2011.0,1785.0
2016-06-01,Mexico,Chile,1,0,Friendly,United States,True,1937.0,1937.0
2016-06-03,Bosnia and Herzegovina,Denmark,2,2,Friendly tournament,Japan,True,1741.0,1726.0
2016-06-03,Azerbaijan,Canada,1,1,Friendly,Austria,True,1389.0,1507.0
2016-06-03,Jordan,United Arab Emirates,3,1,King's Cup,Thailand,True,1562.0,1602.0
2016-06-03,Libya,Morocco,1,1,African Nations Cup qualifier,Tunisia,True,1478.0,1575.0
2016-06-04,Gambia,South Africa,0,4,African Nations Cup qualifier,The Gambia,True,1281.0,1601.0
2016-06-04,Costa Rica,Paraguay,0,0,Copa America,United States,True,1786.0,1749.0
2016-06-04,Peru,Haiti,1,0,Copa America,United States,True,1785.0,1490.0
2016-06-04,Brazil,Ecuador,0,0,Copa America,United States,True,2012.0,1882.0
2016-06-04,New Zealand,Solomon Islands,1,0,WC q and Oce Cup,Papua New Guinea,True,1549.0,1163.0
2016-06-05,Mexico,Uruguay,3,1,Copa America,United States,True,1978.0,1924.0
2016-06-06,Argentina,Chile,2,1,Copa America,United States,True,2067.0,1920.0
2016-06-06,Panama,Bolivia,2,1,Copa America,United States,True,1696.0,1584.0
2016-06-07,Colombia,Paraguay,2,1,Copa America,United States,True,2014.0,1740.0
2016-06-07,Canada,Uzbekistan,2,1,Friendly,Austria,True,1521.0,1649.0
2016-06-08,Brazil,Haiti,7,1,Copa America,United States,True,2017.0,1485.0
2016-06-08,Ecuador,Peru,2,2,Copa America,United States,True,1875.0,1792.0
2016-06-08,New Zealand,New Caledonia,1,0,Oceania Nations Cup,Papua New Guinea,True,1560.0,1313.0
2016-06-09,Mexico,Jamaica,2,0,Copa America,United States,True,1985.0,1565.0
2016-06-09,Venezuela,Uruguay,1,0,Copa America,United States,True,1675.0,1882.0
2016-06-10,France,Romania,2,1,European Championship,France,False,1981.0,1752.0
2016-06-10,Argentina,Panama,5,0,Copa America,United States,True,2078.0,1685.0
2016-06-11,England,Russia,1,1,European Championship,France,True,1956.0,1772.0
2016-06-11,Switzerland,Albania,1,0,European Championship,France,True,1785.0,1600.0
2016-06-11,Costa Rica,Colombia,3,2,Copa America,United States,True,1786.0,1973.0
2016-06-11,Papua New Guinea,New Zealand,0,0,Oceania Nations Cup,Papua New Guinea,False,1125.0,1541.0
2016-06-12,Germany,Ukraine,2,0,European Championship,France,True,2052.0,1818.0
2016-06-12,Croatia,Turkey,1,0,European Championship,France,True,1844.0,1802.0
2016-06-12,Ecuador,Haiti,4,0,Copa America,United States,True,1884.0,1476.0
2016-06-12,Peru,Brazil,1,0,Copa America,United States,True,1831.0,1978.0
2016-06-13,Mexico,Venezuela,1,1,Copa America,United States,True,1967.0,1693.0
2016-06-13,Uruguay,Jamaica,3,0,Copa America,United States,True,1894.0,1553.0
2016-06-13,Italy,Belgium,2,0,European Championship,France,True,1917.0,1878.0
2016-06-13,Ireland,Sweden,1,1,European Championship,France,True,1758.0,1762.0
2016-06-13,Spain,Czechia,1,0,European Championship,France,True,2001.0,1744.0
2016-06-14,Chile,Panama,4,2,Copa America,United States,True,1941.0,1670.0
2016-06-14,Argentina,Bolivia,3,0,Copa America,United States,True,2083.0,1573.0
2016-06-14,Hungary,Austria,2,0,European Championship,France,True,1742.0,1731.0
2016-06-14,Iceland,Portugal,1,1,European Championship,France,True,1681.0,1893.0
2016-06-15,Romania,Switzerland,1,1,European Championship,France,True,1754.0,1783.0
2016-06-15,France,Albania,2,0,European Championship,France,False,1985.0,1596.0
2016-06-16,England,Wales,2,1,European Championship,France,True,1965.0,1678.0
2016-06-16,Germany,Poland,0,0,European Championship,France,True,2036.0,1796.0
2016-06-17,Colombia,Peru,0,0,Copa America,United States,True,1963.0,1841.0
2016-06-17,Italy,Sweden,1,0,European Championship,France,True,1932.0,1747.0
2016-06-17,Spain,Turkey,3,0,European Championship,France,True,2022.0,1781.0
2016-06-17,Croatia,Czechia,2,2,European Championship,France,True,1837.0,1751.0
2016-06-18,Lesotho,South Africa,1,1,COSAFA Cup,Namibia,True,1227.0,1585.0
2016-06-18,Chile,Mexico,7,0,Copa America,United States,True,2001.0,1907.0
2016-06-18,Argentina,Venezuela,4,1,Copa America,United States,True,2091.0,1685.0
