qualifying_thirds,winner_A,winner_B,winner_D,winner_E,winner_G,winner_I,winner_K,winner_L
ABCDEFGH,H,G,B,C,A,F,D,E
ABCDEFGI,C,G,B,D,A,F,E,I
ABCDEFGJ,C,G,B,D,A,F,E,J
ABCDEFGK,C,G,B,D,A,F,E,K
ABCDEFGL,C,G,B,D,A,F,L,E
ABCDEFHI,H,E,B,C,A,F,D,I
ABCDEFHJ,H,J,B,C,A,F,D,E
ABCDEFHK,H,E,B,C,A,F,D,K
ABCDEFHL,H,F,B,C,A,D,L,E
ABCDEFIJ,C,J,B,D,A,F,E,I
ABCDEFIK,C,E,B,D,A,F,I,K
ABCDEFIL,C,E,B,D,A,F,L,I
ABCDEFJK,C,J,B,D,A,F,E,K
ABCDEFJL,C,J,B,D,A,F,L,E
ABCDEFKL,C,E,B,D,A,F,L,K
ABCDEGHI,H,G,B,C,A,D,E,I
ABCDEGHJ,H,G,B,C,A,D,E,J
ABCDEGHK,H,G,B,C,A,D,E,K
ABCDEGHL,H,G,B,C,A,D,L,E
ABCDEGIJ,E,G,B,C,A,D,I,J
ABCDEGIK,E,G,B,C,A,D,I,K
ABCDEGIL,E,G,B,C,A,D,L,I
ABCDEGJK,E,G,B,C,A,D,J,K
ABCDEGJL,E,G,B,C,A,D,L,J
ABCDEGKL,E,G,B,C,A,D,L,K
ABCDEHIJ,H,J,B,C,A,D,E,I
ABCDEHIK,H,E,B,C,A,D,I,K
ABCDEHIL,H,E,B,C,A,D,L,I
ABCDEHJK,H,J,B,C,A,D,E,K
ABCDEHJL,H,J,B,C,A,D,L,E
ABCDEHKL,H,E,B,C,A,D,L,K
ABCDEIJK,E,J,B,C,A,D,I,K
ABCDEIJL,E,J,B,C,A,D,L,I
ABCDEIKL,E,I,B,C,A,D,L,K
ABCDEJKL,E,J,B,C,A,D,L,K
ABCDFGHI,H,G,B,C,A,F,D,I
ABCDFGHJ,H,G,B,C,A,F,D,J
ABCDFGHK,H,G,B,C,A,F,D,K
ABCDFGHL,C,G,B,D,A,F,L,H
ABCDFGIJ,C,G,B,D,A,F,I,J
ABCDFGIK,C,G,B,D,A,F,I,K
ABCDFGIL,C,G,B,D,A,F,L,I
ABCDFGJK,C,G,B,D,A,F,J,K
ABCDFGJL,C,G,B,D,A,F,L,J
ABCDFGKL,C,G,B,D,A,F,L,K
ABCDFHIJ,H,J,B,C,A,F,D,I
ABCDFHIK,H,F,B,C,A,D,I,K
ABCDFHIL,H,F,B,C,A,D,L,I
ABCDFHJK,H,J,B,C,A,F,D,K
ABCDFHJL,C,J,B,D,A,F,L,H
ABCDFHKL,H,F,B,C,A,D,L,K
ABCDFIJK,C,J,B,D,A,F,I,K
ABCDFIJL,C,J,B,D,A,F,L,I
ABCDFIKL,C,I,B,D,A,F,L,K
ABCDFJKL,C,J,B,D,A,F,L,K
ABCDGHIJ,H,G,B,C,A,D,I,J
ABCDGHIK,H,G,B,C,A,D,I,K
ABCDGHIL,H,G,B,C,A,D,L,I
ABCDGHJK,H,G,B,C,A,D,J,K
ABCDGHJL,H,G,B,C,A,D,L,J
ABCDGHKL,H,G,B,C,A,D,L,K
ABCDGIJK,C,J,B,D,A,G,I,K
ABCDGIJL,C,J,B,D,A,G,L,I
ABCDGIKL,I,G,B,C,A,D,L,K
ABCDGJKL,C,J,B,D,A,G,L,K
ABCDHIJK,H,J,B,C,A,D,I,K
ABCDHIJL,H,J,B,C,A,D,L,I
ABCDHIKL,H,I,B,C,A,D,L,K
ABCDHJKL,H,J,B,C,A,D,L,K
ABCDIJKL,I,J,B,C,A,D,L,K
ABCEFGHI,H,G,B,C,A,F,E,I
ABCEFGHJ,H,G,B,C,A,F,E,J
ABCEFGHK,H,G,B,C,A,F,E,K
ABCEFGHL,H,G,B,C,A,F,L,E
ABCEFGIJ,E,G,B,C,A,F,I,J
ABCEFGIK,E,G,B,C,A,F,I,K
ABCEFGIL,E,G,B,C,A,F,L,I
ABCEFGJK,E,G,B,C,A,F,J,K
ABCEFGJL,E,G,B,C,A,F,L,J
ABCEFGKL,E,G,B,C,A,F,L,K
ABCEFHIJ,H,J,B,C,A,F,E,I
ABCEFHIK,H,E,B,C,A,F,I,K
ABCEFHIL,H,E,B,C,A,F,L,I
ABCEFHJK,H,J,B,C,A,F,E,K
ABCEFHJL,H,J,B,C,A,F,L,E
ABCEFHKL,H,E,B,C,A,F,L,K
ABCEFIJK,E,J,B,C,A,F,I,K
ABCEFIJL,E,J,B,C,A,F,L,I
ABCEFIKL,E,I,B,C,A,F,L,K
ABCEFJKL,E,J,B,C,A,F,L,K
ABCEGHIJ,H,J,B,C,A,G,E,I
ABCEGHIK,E,G,B,C,A,H,I,K
ABCEGHIL,E,G,B,C,A,H,L,I
ABCEGHJK,H,J,B,C,A,G,E,K
ABCEGHJL,H,J,B,C,A,G,L,E
ABCEGHKL,E,G,B,C,A,H,L,K
ABCEGIJK,E,J,B,C,A,G,I,K
ABCEGIJL,E,J,B,C,A,G,L,I
ABCEGIKL,E,G,B,A,I,C,L,K
ABCEGJKL,E,J,B,C,A,G,L,K
ABCEHIJK,E,J,B,C,A,H,I,K
ABCEHIJL,E,J,B,C,A,H,L,I
ABCEHIKL,E,I,B,C,A,H,L,K
ABCEHJKL,E,J,B,C,A,H,L,K
ABCEIJKL,E,J,B,A,I,C,L,K
ABCFGHIJ,H,G,B,C,A,F,I,J
ABCFGHIK,H,G,B,C,A,F,I,K
ABCFGHIL,H,G,B,C,A,F,L,I
ABCFGHJK,H,G,B,C,A,F,J,K
ABCFGHJL,H,G,B,C,A,F,L,J
ABCFGHKL,H,G,B,C,A,F,L,K
ABCFGIJK,C,J,B,F,A,G,I,K
ABCFGIJL,C,J,B,F,A,G,L,I
ABCFGIKL,I,G,B,C,A,F,L,K
ABCFGJKL,C,J,B,F,A,G,L,K
ABCFHIJK,H,J,B,C,A,F,I,K
ABCFHIJL,H,J,B,C,A,F,L,I
ABCFHIKL,H,I,B,C,A,F,L,K
ABCFHJKL,H,J,B,C,A,F,L,K
ABCFIJKL,I,J,B,C,A,F,L,K
ABCGHIJK,H,J,B,C,A,G,I,K
ABCGHIJL,H,J,B,C,A,G,L,I
ABCGHIKL,I,G,B,C,A,H,L,K
ABCGHJKL,H,J,B,C,A,G,L,K
ABCGIJKL,I,J,B,C,A,G,L,K
ABCHIJKL,I,J,B,C,A,H,L,K
ABDEFGHI,H,G,B,D,A,F,E,I
ABDEFGHJ,H,G,B,D,A,F,E,J
ABDEFGHK,H,G,B,D,A,F,E,K
ABDEFGHL,H,G,B,D,A,F,L,E
ABDEFGIJ,E,G,B,D,A,F,I,J
ABDEFGIK,E,G,B,D,A,F,I,K
ABDEFGIL,E,G,B,D,A,F,L,I
ABDEFGJK,E,G,B,D,A,F,J,K
ABDEFGJL,E,G,B,D,A,F,L,J
ABDEFGKL,E,G,B,D,A,F,L,K
ABDEFHIJ,H,J,B,D,A,F,E,I
ABDEFHIK,H,E,B,D,A,F,I,K
ABDEFHIL,H,E,B,D,A,F,L,I
ABDEFHJK,H,J,B,D,A,F,E,K
ABDEFHJL,H,J,B,D,A,F,L,E
ABDEFHKL,H,E,B,D,A,F,L,K
ABDEFIJK,E,J,B,D,A,F,I,K
ABDEFIJL,E,J,B,D,A,F,L,I
ABDEFIKL,E,I,B,D,A,F,L,K
ABDEFJKL,E,J,B,D,A,F,L,K
ABDEGHIJ,H,J,B,D,A,G,E,I
ABDEGHIK,E,G,B,D,A,H,I,K
ABDEGHIL,E,G,B,D,A,H,L,I
ABDEGHJK,H,J,B,D,A,G,E,K
ABDEGHJL,H,J,B,D,A,G,L,E
ABDEGHKL,E,G,B,D,A,H,L,K
ABDEGIJK,E,J,B,D,A,G,I,K
ABDEGIJL,E,J,B,D,A,G,L,I
ABDEGIKL,E,G,B,A,I,D,L,K
ABDEGJKL,E,J,B,D,A,G,L,K
ABDEHIJK,E,J,B,D,A,H,I,K
ABDEHIJL,E,J,B,D,A,H,L,I
ABDEHIKL,E,I,B,D,A,H,L,K
ABDEHJKL,E,J,B,D,A,H,L,K
ABDEIJKL,E,J,B,A,I,D,L,K
ABDFGHIJ,H,G,B,D,A,F,I,J
ABDFGHIK,H,G,B,D,A,F,I,K
ABDFGHIL,H,G,B,D,A,F,L,I
ABDFGHJK,H,G,B,D,A,F,J,K
ABDFGHJL,H,G,B,D,A,F,L,J
ABDFGHKL,H,G,B,D,A,F,L,K
ABDFGIJK,F,J,B,D,A,G,I,K
ABDFGIJL,F,J,B,D,A,G,L,I
ABDFGIKL,I,G,B,D,A,F,L,K
ABDFGJKL,F,J,B,D,A,G,L,K
ABDFHIJK,H,J,B,D,A,F,I,K
ABDFHIJL,H,J,B,D,A,F,L,I
ABDFHIKL,H,I,B,D,A,F,L,K
ABDFHJKL,H,J,B,D,A,F,L,K
ABDFIJKL,I,J,B,D,A,F,L,K
ABDGHIJK,H,J,B,D,A,G,I,K
ABDGHIJL,H,J,B,D,A,G,L,I
ABDGHIKL,I,G,B,D,A,H,L,K
ABDGHJKL,H,J,B,D,A,G,L,K
ABDGIJKL,I,J,B,D,A,G,L,K
ABDHIJKL,I,J,B,D,A,H,L,K
ABEFGHIJ,H,J,B,F,A,G,E,I
ABEFGHIK,E,G,B,F,A,H,I,K
ABEFGHIL,E,G,B,F,A,H,L,I
ABEFGHJK,H,J,B,F,A,G,E,K
ABEFGHJL,H,J,B,F,A,G,L,E
ABEFGHKL,E,G,B,F,A,H,L,K
ABEFGIJK,E,J,B,F,A,G,I,K
