round,round_id,group,date,home_team,away_team,home_score,away_score,winner,is_knockout,played,match_uid,event_id,status,home_score_ht,away_score_ht,et_home,et_away,pens_home,pens_away,is_neutral_ground
,G1,A,2026-06-11,Mexico,South Africa,2.0,0.0,Mexico,False,True,GRP|Mexico|South Africa,8287,finished,1.0,0.0,,,,,False
,G1,B,2026-06-12,Canada,Bosnia and Herzegovina,1.0,1.0,,False,True,GRP|Bosnia and Herzegovina|Canada,8289,finished,0.0,1.0,,,,,False
,G1,A,2026-06-12,South Korea,Czechia,2.0,1.0,South Korea,False,True,GRP|Czechia|South Korea,8288,finished,0.0,0.0,,,,,False
,G1,C,2026-06-13,Brazil,Morocco,1.0,1.0,,False,True,GRP|Brazil|Morocco,8293,finished,1.0,1.0,,,,,False
,G1,B,2026-06-13,Qatar,Switzerland,1.0,1.0,,False,True,GRP|Qatar|Switzerland,8292,finished,0.0,1.0,,,,,False
,G1,D,2026-06-13,United States,Paraguay,4.0,1.0,United States,False,True,GRP|Paraguay|United States,8290,finished,2.0,1.0,,,,,False
,G1,E,2026-06-14,Ivory Coast,Ecuador,1.0,0.0,Ivory Coast,False,True,GRP|Ecuador|Ivory Coast,8297,finished,0.0,0.0,,,,,False
,G1,F,2026-06-14,Netherlands,Japan,2.0,2.0,,False,True,GRP|Japan|Netherlands,8296,finished,0.0,0.0,,,,,False
,G1,E,2026-06-14,Germany,Curaçao,7.0,1.0,Germany,False,True,GRP|Curaçao|Germany,8295,finished,4.0,1.0,,,,,False
,G1,D,2026-06-14,Australia,Turkey,2.0,0.0,Australia,False,True,GRP|Australia|Turkey,8291,finished,1.0,0.0,,,,,False
,G1,C,2026-06-14,Haiti,Scotland,0.0,1.0,Scotland,False,True,GRP|Haiti|Scotland,8294,finished,0.0,1.0,,,,,False
,G1,H,2026-06-15,Saudi Arabia,Uruguay,1.0,1.0,,False,True,GRP|Saudi Arabia|Uruguay,8301,finished,1.0,0.0,,,,,False
,G1,G,2026-06-15,Belgium,Egypt,1.0,1.0,,False,True,GRP|Belgium|Egypt,8300,finished,0.0,1.0,,,,,False
,G1,H,2026-06-15,Spain,Cape Verde,0.0,0.0,,False,True,GRP|Cape Verde|Spain,8299,finished,0.0,0.0,,,,,False
,G1,F,2026-06-15,Sweden,Tunisia,5.0,1.0,Sweden,False,True,GRP|Sweden|Tunisia,8298,finished,2.0,1.0,,,,,False
,G1,I,2026-06-16,Iraq,Norway,1.0,4.0,Norway,False,True,GRP|Iraq|Norway,8305,finished,1.0,2.0,,,,,False
,G1,I,2026-06-16,France,Senegal,3.0,1.0,France,False,True,GRP|France|Senegal,8304,finished,0.0,0.0,,,,,False
,G1,G,2026-06-16,Iran,New Zealand,2.0,2.0,,False,True,GRP|Iran|New Zealand,8302,finished,1.0,1.0,,,,,False
,G1,L,2026-06-17,Ghana,Panama,1.0,0.0,Ghana,False,True,GRP|Ghana|Panama,8309,finished,0.0,0.0,,,,,False
,G1,L,2026-06-17,England,Croatia,4.0,2.0,England,False,True,GRP|Croatia|England,8308,finished,3.0,2.0,,,,,False
,G1,K,2026-06-17,Portugal,DR Congo,1.0,1.0,,False,True,GRP|DR Congo|Portugal,8307,finished,1.0,1.0,,,,,False
,G1,J,2026-06-17,Austria,Jordan,3.0,1.0,Austria,False,True,GRP|Austria|Jordan,8303,finished,1.0,0.0,,,,,False
,G1,J,2026-06-17,Argentina,Algeria,3.0,0.0,Argentina,False,True,GRP|Algeria|Argentina,8306,finished,1.0,0.0,,,,,False
,G2,B,2026-06-18,Canada,Qatar,,,,False,False,GRP|Canada|Qatar,8313,notstarted,,,,,,,False
,G2,B,2026-06-18,Switzerland,Bosnia and Herzegovina,,,,False,False,GRP|Bosnia and Herzegovina|Switzerland,8312,notstarted,,,,,,,False
,G2,A,2026-06-18,Czechia,South Africa,,,,False,False,GRP|Czechia|South Africa,8311,notstarted,,,,,,,False
,G1,K,2026-06-18,Uzbekistan,Colombia,1.0,3.0,Colombia,False,True,GRP|Colombia|Uzbekistan,8310,finished,0.0,1.0,,,,,False
,G2,C,2026-06-19,Scotland,Morocco,,,,False,False,GRP|Morocco|Scotland,8317,notstarted,,,,,,,False
,G2,D,2026-06-19,United States,Australia,,,,False,False,GRP|Australia|United States,8316,notstarted,,,,,,,False
,G2,A,2026-06-19,Mexico,South Korea,,,,False,False,GRP|Mexico|South Korea,8314,notstarted,,,,,,,False
,G2,E,2026-06-20,Germany,Ivory Coast,,,,False,False,GRP|Germany|Ivory Coast,8321,notstarted,,,,,,,False
