team,stage,opponent,meet_prob
Algeria,FINAL,Argentina,0.00303
Algeria,FINAL,France,0.00214
Algeria,FINAL,Spain,0.00213
Algeria,FINAL,Portugal,0.00183
Algeria,FINAL,Colombia,0.00114
Algeria,FINAL,Brazil,0.00113
Algeria,FINAL,England,0.00108
Algeria,FINAL,Netherlands,0.00073
Algeria,FINAL,Germany,0.00063
Algeria,FINAL,Uruguay,0.00046
Algeria,FINAL,Belgium,0.00037
Algeria,FINAL,Morocco,0.00036
Algeria,FINAL,Senegal,0.00031
Algeria,FINAL,Croatia,0.00027
Algeria,FINAL,Switzerland,0.00026
Algeria,FINAL,Japan,0.0002
Algeria,FINAL,Turkey,0.00015
Algeria,FINAL,Ecuador,0.00012
Algeria,FINAL,United States,0.00012
Algeria,FINAL,Paraguay,9e-05
Algeria,FINAL,Ivory Coast,9e-05
Algeria,FINAL,Austria,7e-05
Algeria,FINAL,Mexico,7e-05
Algeria,FINAL,South Korea,6e-05
Algeria,FINAL,Canada,6e-05
Algeria,FINAL,Iran,5e-05
Algeria,FINAL,Sweden,4e-05
Algeria,FINAL,Egypt,3e-05
Algeria,FINAL,Czechia,3e-05
Algeria,FINAL,Norway,2e-05
Algeria,FINAL,Tunisia,1e-05
Algeria,FINAL,South Africa,1e-05
Algeria,FINAL,Uzbekistan,1e-05
Algeria,FINAL,Scotland,1e-05
Algeria,QF,Argentina,0.01392
Algeria,QF,Spain,0.01244
Algeria,QF,Portugal,0.01209
Algeria,QF,Belgium,0.01068
Algeria,QF,Colombia,0.0092
Algeria,QF,Uruguay,0.00515
Algeria,QF,Turkey,0.00455
Algeria,QF,Austria,0.0045
Algeria,QF,Switzerland,0.00421
Algeria,QF,Iran,0.00366
Algeria,QF,Paraguay,0.00336
Algeria,QF,United States,0.00335
Algeria,QF,Canada,0.00244
Algeria,QF,Australia,0.00226
Algeria,QF,England,0.00206
Algeria,QF,Croatia,0.00187
Algeria,QF,Egypt,0.00134
Algeria,QF,Senegal,0.00131
Algeria,QF,South Korea,0.00086
Algeria,QF,Brazil,0.00086
Algeria,QF,Czechia,0.00084
Algeria,QF,Norway,0.00083
Algeria,QF,Ecuador,0.0008
Algeria,QF,France,0.00071
Algeria,QF,Germany,0.00068
Algeria,QF,Mexico,0.00065
Algeria,QF,Ivory Coast,0.00061
Algeria,QF,Bosnia and Herzegovina,0.00048
Algeria,QF,Netherlands,0.00041
Algeria,QF,Panama,0.00035
Algeria,QF,Morocco,0.00034
Algeria,QF,South Africa,0.00029
Algeria,QF,Japan,0.00027
Algeria,QF,Uzbekistan,0.00027
Algeria,QF,Ghana,0.00021
Algeria,QF,DR Congo,0.00017
Algeria,QF,Saudi Arabia,0.00016
Algeria,QF,Jordan,0.00016
Algeria,QF,Sweden,0.00013
Algeria,QF,Qatar,8e-05
Algeria,QF,Cape Verde,8e-05
Algeria,QF,New Zealand,8e-05
Algeria,QF,Tunisia,6e-05
Algeria,QF,Scotland,5e-05
Algeria,QF,Iraq,5e-05
Algeria,R16,Portugal,0.04508
Algeria,R16,Colombia,0.04231
Algeria,R16,Belgium,0.01901
Algeria,R16,Croatia,0.0189
Algeria,R16,England,0.01414
Algeria,R16,Iran,0.0129
Algeria,R16,Turkey,0.01135
Algeria,R16,United States,0.00997
Algeria,R16,Paraguay,0.00924
Algeria,R16,Australia,0.00823
Algeria,R16,Egypt,0.00613
Algeria,R16,Panama,0.00528
Algeria,R16,Uzbekistan,0.00383
Algeria,R16,Mexico,0.00356
Algeria,R16,Czechia,0.0032
Algeria,R16,South Korea,0.00306
Algeria,R16,Ghana,0.00267
Algeria,R16,DR Congo,0.00232
Algeria,R16,Switzerland,0.00156
Algeria,R16,Senegal,0.00146
Algeria,R16,Ivory Coast,0.00136
Algeria,R16,Canada,0.00129
Algeria,R16,South Africa,0.00124
Algeria,R16,Norway,0.00123
Algeria,R16,Ecuador,0.0012
Algeria,R16,Bosnia and Herzegovina,0.00117
Algeria,R16,New Zealand,0.00114
Algeria,R16,Uruguay,0.00075
Algeria,R16,Germany,0.00065
Algeria,R16,Saudi Arabia,0.00047
Algeria,R16,Cape Verde,0.00046
Algeria,R16,France,0.00043
Algeria,R16,Qatar,0.00043
Algeria,R16,Scotland,0.00034
Algeria,R16,Morocco,0.0003
Algeria,R16,Iraq,0.00029
Algeria,R16,Brazil,0.00026
Algeria,R16,Spain,0.00015
Algeria,R16,Haiti,3e-05
Algeria,R16,Curaçao,1e-05
Algeria,R32,Spain,0.30292
Algeria,R32,Uruguay,0.1378
Algeria,R32,Switzerland,0.06427
Algeria,R32,Canada,0.05072
Algeria,R32,Belgium,0.02198
Algeria,R32,Turkey,0.01751
Algeria,R32,United States,0.01404
Algeria,R32,Paraguay,0.0131
Algeria,R32,England,0.01271
Algeria,R32,Saudi Arabia,0.01197
Algeria,R32,Cape Verde,0.01048
Algeria,R32,Australia,0.01016
Algeria,R32,Iran,0.01006
Algeria,R32,Bosnia and Herzegovina,0.00723
Algeria,R32,Croatia,0.00696
Algeria,R32,Egypt,0.0048
Algeria,R32,Portugal,0.00325
Algeria,R32,Colombia,0.00266
Algeria,R32,Qatar,0.00242
Algeria,R32,New Zealand,0.00119
Algeria,R32,Panama,0.00084
Algeria,R32,Ghana,0.00035
Algeria,R32,Uzbekistan,0.00027
Algeria,R32,DR Congo,0.00021
Algeria,SF,France,0.01022
Algeria,SF,Brazil,0.00512
Algeria,SF,England,0.0044
Algeria,SF,Netherlands,0.00428
Algeria,SF,Germany,0.00357
Algeria,SF,Morocco,0.00226
Algeria,SF,Senegal,0.00179
Algeria,SF,Japan,0.00178
Algeria,SF,Ecuador,0.00142
Algeria,SF,Mexico,0.00116
Algeria,SF,Croatia,0.0011
Algeria,SF,Switzerland,0.00087
Algeria,SF,Portugal,0.00078
Algeria,SF,Argentina,0.00058
Algeria,SF,Czechia,0.0005
Algeria,SF,Colombia,0.00049
Algeria,SF,Sweden,0.00045
Algeria,SF,Scotland,0.00044
Algeria,SF,Ivory Coast,0.00043
Algeria,SF,Canada,0.00038
Algeria,SF,South Korea,0.00037
Algeria,SF,Norway,0.00036
Algeria,SF,Uruguay,0.00031
Algeria,SF,Tunisia,0.00022
Algeria,SF,Spain,0.0002
Algeria,SF,Paraguay,0.00016
Algeria,SF,Turkey,0.00014
Algeria,SF,Australia,0.00012
Algeria,SF,United States,7e-05
Algeria,SF,Belgium,7e-05
Algeria,SF,Uzbekistan,6e-05
Algeria,SF,South Africa,6e-05
Algeria,SF,Bosnia and Herzegovina,4e-05
Algeria,SF,Austria,4e-05
Algeria,SF,Iran,3e-05
Algeria,SF,Saudi Arabia,3e-05
Algeria,SF,DR Congo,2e-05
Algeria,SF,Egypt,2e-05
Algeria,SF,Qatar,2e-05
Algeria,SF,Iraq,1e-05
Algeria,SF,Cape Verde,1e-05
Algeria,SF,Panama,1e-05
Algeria,SF,Haiti,1e-05
Argentina,FINAL,Spain,0.06815
Argentina,FINAL,France,0.05395
Argentina,FINAL,Portugal,0.01958
Argentina,FINAL,Netherlands,0.0164
Argentina,FINAL,Colombia,0.01337
Argentina,FINAL,Brazil,0.01329
Argentina,FINAL,Germany,0.0126
Argentina,FINAL,Belgium,0.01101
Argentina,FINAL,England,0.00964
Argentina,FINAL,Uruguay,0.0075
Argentina,FINAL,Morocco,0.0056
Argentina,FINAL,Japan,0.00461
Argentina,FINAL,Senegal,0.00431
Argentina,FINAL,Croatia,0.00427
Argentina,FINAL,Switzerland,0.00343
Argentina,FINAL,Turkey,0.00312
Argentina,FINAL,Algeria,0.00303
Argentina,FINAL,Austria,0.0026
Argentina,FINAL,Ecuador,0.00247
Argentina,FINAL,United States,0.00196
Argentina,FINAL,Paraguay,0.0015
Argentina,FINAL,Czechia,0.0012
Argentina,FINAL,Canada,0.00116
Argentina,FINAL,Ivory Coast,0.00099
Argentina,FINAL,South Korea,0.00096
Argentina,FINAL,Scotland,0.00094
Argentina,FINAL,Australia,0.00094
Argentina,FINAL,Iran,0.00092
Argentina,FINAL,Mexico,0.00085
Argentina,FINAL,Sweden,0.00061
Argentina,FINAL,Egypt,0.00042
Argentina,FINAL,Norway,0.0004
