winner,loser,prob
Spain,Austria,0.38863
France,Sweden,0.33357
Argentina,Uruguay,0.31131
France,Germany,0.29661
Colombia,Ghana,0.27986
England,Mexico,0.26431
Portugal,Croatia,0.24669
Portugal,Ghana,0.21536
England,DR Congo,0.20607
Argentina,Cape Verde,0.20255
Colombia,Croatia,0.19994
Argentina,Spain,0.18914
France,Japan,0.18468
Norway,Ivory Coast,0.18376
France,Netherlands,0.18119
Brazil,Japan,0.18041
Brazil,Sweden,0.17806
Brazil,Netherlands,0.17506
Netherlands,Morocco,0.17095
Argentina,Colombia,0.16446
England,Uzbekistan,0.16359
Spain,Argentina,0.15733
England,Norway,0.15717
Argentina,Australia,0.15525
Spain,Algeria,0.15435
Netherlands,Brazil,0.15214
Netherlands,Scotland,0.14945
Belgium,Czechia,0.14527
Senegal,Ivory Coast,0.14413
Belgium,United States,0.14215
Belgium,Australia,0.13527
Germany,Scotland,0.13221
Germany,France,0.12771
England,Senegal,0.12761
Spain,Portugal,0.12724
Spain,Croatia,0.12544
Uruguay,Austria,0.1251
England,Ecuador,0.12333
Argentina,United States,0.12164
Morocco,Sweden,0.12081
Argentina,Belgium,0.11674
France,Ivory Coast,0.11578
Argentina,England,0.11371
Morocco,Netherlands,0.11332
Croatia,Portugal,0.11327
United States,Bosnia and Herzegovina,0.11322
Spain,Colombia,0.11314
Morocco,Japan,0.11218
Argentina,Saudi Arabia,0.11011
Croatia,Colombia,0.10726
Ivory Coast,Norway,0.10704
Colombia,Switzerland,0.10617
Portugal,Spain,0.10601
Uruguay,Argentina,0.10446
Argentina,Portugal,0.10362
Spain,Belgium,0.10001
Australia,Egypt,0.0999
France,Morocco,0.0985
Colombia,Argentina,0.09794
Japan,Brazil,0.09684
Japan,Morocco,0.09626
Portugal,England,0.09489
Japan,Scotland,0.0943
South Korea,Canada,0.09413
Switzerland,South Korea,0.0941
France,Brazil,0.0937
Ivory Coast,Senegal,0.09308
United States,Belgium,0.09305
Brazil,England,0.09295
United States,Qatar,0.09164
France,Turkey,0.0914
Portugal,Argentina,0.09122
England,South Korea,0.09064
Germany,Turkey,0.0905
Colombia,Canada,0.08999
Canada,South Korea,0.08995
Spain,United States,0.08913
Argentina,Iran,0.0886
Argentina,Egypt,0.08767
Spain,France,0.08713
United States,Egypt,0.0865
Mexico,Scotland,0.08586
England,Brazil,0.08582
Germany,Norway,0.08532
Mexico,Cape Verde,0.08523
Brazil,Norway,0.08517
Netherlands,France,0.08501
